  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 2222                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
   3.200   0.5157   0.00938   0.00355  -0.0211   0.3127   0.7353
   3.300   0.5260   0.00942   0.00359  -0.0210   0.3099   0.7409
   3.400   0.5364   0.00945   0.00363  -0.0208   0.3077   0.7465
   3.500   0.5465   0.00947   0.00367  -0.0206   0.3053   0.7526
   3.600   0.5565   0.00951   0.00372  -0.0203   0.3027   0.7587
   3.700   0.5664   0.00957   0.00377  -0.0201   0.3000   0.7643
   3.800   0.5760   0.00963   0.00383  -0.0198   0.2972   0.7701
   3.900   0.5851   0.00969   0.00389  -0.0194   0.2940   0.7766
   4.000   0.5953   0.00973   0.00394  -0.0192   0.2922   0.7830
   4.100   0.6057   0.00976   0.00399  -0.0190   0.2905   0.7888
   4.200   0.6157   0.00979   0.00404  -0.0188   0.2887   0.7947
   4.300   0.6255   0.00983   0.00409  -0.0185   0.2867   0.8010
   4.400   0.6353   0.00988   0.00415  -0.0182   0.2848   0.8072
   4.500   0.6450   0.00994   0.00420  -0.0180   0.2828   0.8128
   4.600   0.6543   0.01000   0.00427  -0.0176   0.2809   0.8187
   4.700   0.6633   0.01006   0.00435  -0.0172   0.2787   0.8252
   4.800   0.6718   0.01014   0.00442  -0.0167   0.2765   0.8315
   5.000   0.6907   0.01020   0.00453  -0.0160   0.2744   0.8431
   5.100   0.7000   0.01024   0.00458  -0.0156   0.2734   0.8493
   5.200   0.7092   0.01028   0.00464  -0.0152   0.2722   0.8553
   5.300   0.7183   0.01033   0.00469  -0.0148   0.2709   0.8608
   5.400   0.7271   0.01037   0.00476  -0.0143   0.2696   0.8667
   5.500   0.7360   0.01043   0.00484  -0.0138   0.2683   0.8728
   5.600   0.7450   0.01050   0.00491  -0.0134   0.2670   0.8787
   5.700   0.7539   0.01057   0.00499  -0.0130   0.2657   0.8840
   5.800   0.7626   0.01065   0.00508  -0.0125   0.2643   0.8896
   5.900   0.7712   0.01074   0.00517  -0.0120   0.2630   0.8954
   6.000   0.7796   0.01084   0.00527  -0.0115   0.2614   0.9011
   6.100   0.7876   0.01095   0.00538  -0.0109   0.2598   0.9062
   6.200   0.7964   0.01102   0.00548  -0.0105   0.2590   0.9116
   6.300   0.8058   0.01108   0.00555  -0.0101   0.2584   0.9170
   6.400   0.8153   0.01113   0.00562  -0.0098   0.2577   0.9221
   6.500   0.8245   0.01120   0.00570  -0.0094   0.2570   0.9266
   6.600   0.8336   0.01126   0.00578  -0.0090   0.2562   0.9314
   6.700   0.8424   0.01134   0.00587  -0.0086   0.2554   0.9366
   6.800   0.8512   0.01141   0.00595  -0.0081   0.2545   0.9416
   6.900   0.8601   0.01150   0.00604  -0.0077   0.2537   0.9458
   7.000   0.8691   0.01159   0.00614  -0.0073   0.2528   0.9501
   7.100   0.8776   0.01168   0.00624  -0.0068   0.2519   0.9548
   7.200   0.8854   0.01178   0.00633  -0.0062   0.2510   0.9598
   7.300   0.8951   0.01189   0.00644  -0.0060   0.2500   0.9632
   7.400   0.9052   0.01201   0.00656  -0.0059   0.2489   0.9665
   7.500   0.9147   0.01214   0.00668  -0.0056   0.2478   0.9704
   7.600   0.9229   0.01227   0.00681  -0.0052   0.2466   0.9747
   7.700   0.9329   0.01242   0.00695  -0.0051   0.2453   0.9777
   7.800   0.9448   0.01260   0.00712  -0.0055   0.2439   0.9796
   7.900   0.9575   0.01272   0.00724  -0.0059   0.2431   0.9815
   8.000   0.9707   0.01281   0.00734  -0.0065   0.2427   0.9833
   8.100   0.9840   0.01291   0.00744  -0.0070   0.2421   0.9850
   8.200   0.9970   0.01301   0.00755  -0.0076   0.2415   0.9868
   8.300   1.0101   0.01311   0.00766  -0.0081   0.2408   0.9884
   8.400   1.0229   0.01322   0.00777  -0.0086   0.2401   0.9900
   8.500   1.0357   0.01333   0.00788  -0.0091   0.2393   0.9913
   8.600   1.0500   0.01345   0.00800  -0.0099   0.2385   0.9918
   8.700   1.0640   0.01357   0.00812  -0.0107   0.2376   0.9923
   8.800   1.0779   0.01369   0.00824  -0.0114   0.2367   0.9930
   8.900   1.0915   0.01382   0.00837  -0.0122   0.2358   0.9936
   9.000   1.1049   0.01396   0.00850  -0.0128   0.2348   0.9944
   9.100   1.1181   0.01411   0.00864  -0.0135   0.2339   0.9952
   9.200   1.1309   0.01426   0.00879  -0.0141   0.2328   0.9961
   9.300   1.1434   0.01444   0.00895  -0.0147   0.2317   0.9970
   9.400   1.1556   0.01464   0.00914  -0.0152   0.2304   0.9980
   9.500   1.1672   0.01486   0.00936  -0.0156   0.2291   0.9989
   9.600   1.1793   0.01506   0.00955  -0.0161   0.2280   0.9996
   9.700   1.1889   0.01514   0.00965  -0.0160   0.2276   1.0000
   9.800   1.1906   0.01520   0.00971  -0.0144   0.2273   1.0000
   9.900   1.1932   0.01526   0.00978  -0.0130   0.2269   1.0000
  10.000   1.1964   0.01533   0.00987  -0.0116   0.2264   1.0000
  10.100   1.2000   0.01541   0.00996  -0.0104   0.2259   1.0000
  10.200   1.2041   0.01550   0.01006  -0.0093   0.2254   1.0000
  10.300   1.2089   0.01560   0.01017  -0.0083   0.2248   1.0000
  10.400   1.2141   0.01570   0.01028  -0.0073   0.2242   1.0000
  10.500   1.2197   0.01581   0.01039  -0.0065   0.2235   1.0000
  10.600   1.2257   0.01593   0.01051  -0.0058   0.2228   1.0000
  10.700   1.2317   0.01606   0.01065  -0.0051   0.2221   1.0000
  10.800   1.2379   0.01621   0.01080  -0.0044   0.2213   1.0000
  10.900   1.2443   0.01637   0.01096  -0.0038   0.2205   1.0000
  11.000   1.2508   0.01653   0.01112  -0.0032   0.2197   1.0000
  11.100   1.2573   0.01671   0.01130  -0.0027   0.2188   1.0000
  11.200   1.2637   0.01690   0.01149  -0.0021   0.2179   1.0000
  11.300   1.2696   0.01713   0.01171  -0.0016   0.2170   1.0000
  11.400   1.2752   0.01738   0.01196  -0.0009   0.2159   1.0000
  11.500   1.2803   0.01766   0.01223  -0.0003   0.2147   1.0000
  11.600   1.2859   0.01792   0.01249   0.0003   0.2136   1.0000
  11.700   1.2946   0.01805   0.01264   0.0005   0.2132   1.0000
  11.800   1.3031   0.01818   0.01279   0.0007   0.2127   1.0000
  11.900   1.3112   0.01834   0.01296   0.0009   0.2122   1.0000
  12.000   1.3193   0.01850   0.01313   0.0012   0.2115   1.0000
  12.100   1.3273   0.01867   0.01332   0.0014   0.2108   1.0000
  12.200   1.3352   0.01885   0.01350   0.0017   0.2100   1.0000
  12.300   1.3430   0.01903   0.01370   0.0019   0.2093   1.0000
  12.400   1.3507   0.01921   0.01389   0.0022   0.2085   1.0000
  12.500   1.3583   0.01941   0.01410   0.0024   0.2076   1.0000
  12.600   1.3655   0.01964   0.01432   0.0027   0.2066   1.0000
  12.700   1.3723   0.01988   0.01457   0.0031   0.2057   1.0000
  12.800   1.3788   0.02015   0.01484   0.0034   0.2048   1.0000
  12.900   1.3851   0.02043   0.01512   0.0038   0.2038   1.0000
  13.000   1.3910   0.02074   0.01543   0.0041   0.2027   1.0000
  13.100   1.3963   0.02109   0.01577   0.0046   0.2015   1.0000
  13.200   1.4005   0.02150   0.01618   0.0051   0.2002   1.0000
  13.300   1.4081   0.02173   0.01642   0.0053   0.1996   1.0000
  13.400   1.4163   0.02192   0.01664   0.0054   0.1990   1.0000
  13.500   1.4241   0.02213   0.01687   0.0056   0.1983   1.0000
  13.600   1.4320   0.02235   0.01710   0.0058   0.1975   1.0000
  13.700   1.4396   0.02258   0.01734   0.0059   0.1966   1.0000
  13.800   1.4468   0.02283   0.01760   0.0061   0.1956   1.0000
  13.900   1.4535   0.02312   0.01790   0.0064   0.1947   1.0000
  14.000   1.4599   0.02343   0.01822   0.0066   0.1936   1.0000
  14.100   1.4660   0.02376   0.01855   0.0069   0.1925   1.0000
  14.200   1.4719   0.02410   0.01890   0.0071   0.1915   1.0000
  14.300   1.4775   0.02448   0.01927   0.0074   0.1903   1.0000
  14.400   1.4820   0.02492   0.01971   0.0078   0.1891   1.0000
  14.500   1.4858   0.02543   0.02022   0.0082   0.1878   1.0000
  14.600   1.4913   0.02582   0.02062   0.0085   0.1868   1.0000
  14.700   1.4987   0.02609   0.02091   0.0086   0.1861   1.0000
  14.800   1.5058   0.02637   0.02122   0.0087   0.1852   1.0000
  14.900   1.5125   0.02669   0.02155   0.0089   0.1842   1.0000
  15.000   1.5184   0.02707   0.02194   0.0091   0.1832   1.0000
