  
       XFOIL         Version 6.99
  
 Calculated polar for: S1223                                           
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
   3.800   1.6330   0.01383   0.00734  -0.2737   0.3450   0.4853
   3.900   1.6438   0.01391   0.00744  -0.2736   0.3441   0.4997
   4.000   1.6544   0.01399   0.00755  -0.2735   0.3431   0.5151
   4.100   1.6650   0.01409   0.00765  -0.2733   0.3421   0.5308
   4.200   1.6755   0.01419   0.00777  -0.2732   0.3409   0.5479
   4.300   1.6860   0.01431   0.00791  -0.2730   0.3395   0.5661
   4.400   1.6964   0.01443   0.00805  -0.2729   0.3382   0.5854
   4.500   1.7073   0.01453   0.00818  -0.2728   0.3374   0.6063
   4.600   1.7184   0.01457   0.00827  -0.2728   0.3370   0.6296
   4.700   1.7296   0.01463   0.00838  -0.2728   0.3365   0.6546
   4.800   1.7408   0.01467   0.00849  -0.2728   0.3360   0.6822
   4.900   1.7521   0.01473   0.00860  -0.2728   0.3354   0.7139
   5.000   1.7635   0.01477   0.00871  -0.2728   0.3347   0.7521
   5.100   1.7748   0.01481   0.00883  -0.2728   0.3338   0.8021
   5.200   1.7842   0.01479   0.00893  -0.2724   0.3331   0.8803
